Card_Holder_Name,Card_Number,CVV,Expiry_Date,City
Jay S Gamble,5.17E+15,719,18-Jun,Halle
Chance U Alverez,3.57E+15,631,27-Mar,Haaltert
David Bean,3.56E+15,256,18-Mar,Grimbergen
Vincenzo Z Downer,3.02E+13,844,Aug-32,Geraardsbergen
Sheila F Barrett,3.05E+13,611,20-May,Gent
Esteban Moncada,3.75E+14,8346,25-Nov,Genk
Lewis K Robles,3.57E+15,850,17-Dec,Gembloux
Thurman G Walczak,3.56E+15,589,25-Oct,Geel
Marilyn K Beck,4.60E+15,502,24-Nov,Frameries
Carol T Rael,6.01E+15,467,19-Aug,Fleurus
Marilyn Walters,5.40E+15,621,13-Dec,FlÌ©ron
Damien T Rivero,3.74E+14,2137,20-Sep,FlÌ©malle-Haute
Arthur G Armstrong,6.47E+15,246,25-Mar,Evergem
Harrison Jiminez,3.10E+13,24,Nov-33,Eupen
Russell Horne,3.53E+15,240,24-Nov,Essen
Brandon Tunnell,6.01E+15,853,21-Jul,Eeklo
Matthew F Zimmerman,3.54E+15,715,10-May,Edegem
Neida Lamoreaux,5.44E+15,573,30-Nov,Duffel
Joshua D Warren,3.02E+13,506,25-Aug,Dour
Elliott K Pannell,4.09E+15,521,15-Feb,Dilbeek
Janet E Merritt,6.23E+15,81,Feb-33,Diksmuide
Carter C Graham,5.21E+15,82,Aug-34,Diest
Tyler Sanford,5.47E+15,950,21-Jan,Diepenbeek
Dora L Velazquez,3.56E+15,972,27-May,Destelbergen
Michelle D Cleveland,3.54E+15,129,20-Aug,Dendermonde
Miles Bramlett,6.01E+15,638,29-Apr,Denderleeuw
Samuel U Greer,3.77E+14,6692,10-May,Deinze
Rich T Bigelow,3.46E+14,6829,15-Feb,Courcelles
Oscar C Fitzpatrick,4.81E+15,234,Nov-32,Colfontaine
Jared X Hammett,6.01E+15,716,24-Dec,Chaudfontaine
Norman Snyder,4.57E+15,138,22-Jan,ChÌ¢telet
Lowell Bible,6.22E+15,978,17-Apr,Chasse Royale
Vanessa R Rich,5.44E+15,931,23-Dec,Charleroi
Reed Mackinnon,6.01E+15,628,30-Jul,Brussels
Tyler H Erickson,3.75E+14,5688,26-Nov,Brugge
Gaye Sommers,3.55E+15,128,25-May,Brecht
Bryan I Rodgers,4.47E+15,422,26-Apr,Brasschaat
Bradley T Yount,3.49E+14,8467,25-Nov,Braine-le-Comte
Danny Rios,6.01E+15,797,18-Apr,Braine-l'Alleud
Agueda C Mckean,6.01E+15,86,15-Nov,Boussu
Amanda L Gross,3.57E+15,585,30-Jan,Bornem
Rochell H Milano,5.34E+15,340,27-Apr,Boom
April H Brennan,3.57E+15,811,22-Feb,Blankenberge
Whitney Rabb,3.09E+13,605,19-May,Binche
Josephine B Skinner,3.56E+15,506,28-Aug,Bilzen
Kelly X Weeks,3.49E+14,6008,29-Dec,Beveren
Frances Lyons,4.83E+15,174,24-May,Beringen
Domenic Sturgis,6.01E+15,494,28-Aug,Beersel
Hector Bishop,3.57E+15,463,12-Feb,Beerse
Len C Farrington,3.55E+15,871,12-Mar,Balen
Bernard L Garner,3.05E+13,312,25-May,Ath
Alysa Fluellen,5.23E+15,813,17-Jul,Asse
Joan Z Church,3.09E+13,768,15-Apr,Arlon
Terry D Yingling,5.43E+15,406,20-Aug,Antwerpen
Dawn Huff,3.47E+14,4126,21-Jan,Ans
Doreatha K Tarter,4.09E+15,892,24-Aug,Andenne
Janet T Hoffman,3.72E+14,1582,Jan-36,Aarschot
Charley Z Dao,3.78E+14,5038,Feb-36,Aalter
Nancy Z Gamble,3.01E+13,161,Aug-33,Aalst
Roy I Valliere,3.54E+15,528,21-Mar,Zorgo
Amber R Maddox,3.01E+13,921,21-Feb,Yako
Bradley Mcnamara,3.06E+13,472,18-Feb,Tougan
Elaine Q Sweeney,5.23E+15,29,31-May,Titao
Dominica W Hopkins,6.01E+15,996,25-Jul,Tenkodogo
Michael H Hancock,4.63E+15,123,28-Mar,RÌ©o
Willis Z Croy,4.44E+15,920,25-Jan,PÌ«
Derek E Vasquez,5.43E+15,753,27-Oct,Ouahigouya
Bryant G Dardar,3.57E+15,497,17-Sep,Ouagadougou
Bonnie Y Harmon,6.01E+15,423,20-Jan,Nouna
Verlene R Riker,5.46E+15,69,24-Oct,Manga
Scott R Finch,6.01E+15,551,14-Feb,LÌ©o
Brenda C Kwan,6.01E+15,724,23-Jan,KoupÌ©la
Clyde B Rose,6.57E+15,461,21-Mar,Koudougou
Joshua Hilton,5.25E+15,955,31-Oct,Kongoussi
Paul L Larson,3.57E+15,3,23-Sep,Kombissiri
Berneice N Clement,3.58E+15,891,23-May,Kokologo
Edith N Espinoza,3.54E+15,272,26-Apr,Kaya
Lilia Catlett,3.64E+13,413,16-Apr,HoundÌ©
Alice Wheeler,3.47E+14,7379,24-Oct,Gourcy
Joan I Mcgowan,6.01E+15,684,11-Feb,Garango
Hector Hays,5.25E+15,876,14-Jul,Fada N'gourma
Marlys I Haupt,3.59E+15,953,Jul-36,Dori
Bernice I Palmer,5.25E+15,251,31-Jan,Djibo
Sherice A Hamrick,3.56E+15,714,17-Jun,Diapaga
Warren Q Snyder,4.68E+15,24,13-Jun,DÌ©dougou
Jarrod Hibbert,4.97E+15,264,Jul-36,BoussÌ©
Daniel A Hodge,3.03E+13,771,16-Jun,Boulsa
Sharda Wood,6.01E+15,511,11-Dec,Bobo-Dioulasso
June Neal,6.01E+15,593,Nov-33,Banfora
Mariel G Hepner,3.09E+13,993,14-Apr,Gaoua
Bill Travis,4.37E+15,79,Apr-34,Orodara
Lashanda Comer,4.08E+15,406,27-Jan,Yambol
Kelly Bush,3.54E+15,886,26-Mar,Vratsa
Sonny Aston,3.58E+15,575,16-Feb,Vidin
Francis Lloyd,3.50E+14,5409,14-Sep,Velingrad
Cherish Hannon,4.67E+15,649,30-Dec,Veliko T_rnovo
Denise V Michael,3.54E+15,875,Nov-35,Varna
Rocky O Earls,5.28E+15,88,20-Apr,Targovishte
Hazel P Christensen,3.78E+14,4591,26-Feb,Troyan
Johana W Shaver,4.73E+15,812,27-May,Dobrich
Joann V Key,3.02E+13,297,26-Nov,Svishtov
Darleen X Castor,3.43E+14,8664,29-Jul,Svilengrad
Bruce Shelton,6.01E+15,435,27-Feb,Stara Zagora
Milford Strobel,6.23E+15,852,17-Jul,Dupnitsa
Christopher G Hardy,6.01E+15,684,18-Feb,Sofia
Ashely Darden,3.57E+15,476,Nov-32,Smolyan
Roberto I Hensley,3.63E+13,980,11-Sep,Sliven
Rebecca J Whitten,4.66E+15,347,28-Jul,Silistra
Wayne U Graves,3.02E+13,352,30-Jun,Shumen
Stacia J Brody,4.75E+15,927,29-Dec,Sevlievo
Dorothy Juarez,3.04E+13,167,28-Jul,Sandanski
Darnell Z Caban,3.02E+13,421,22-Jul,Samokov
Tina Y Horn,3.57E+15,761,15-Feb,Ruse
Santina C Witten,3.56E+15,158,20-May,Razgrad
Randy J Hicks,5.37E+15,981,29-Jun,Rakovski
Tommie Jacobsen,3.43E+14,3905,23-Aug,Popovo
Eddie K Weber,3.73E+14,9400,20-Sep,Plovdiv
Logan N Hundley,3.41E+14,4571,21-Jul,Pleven
Ricardo F Santana,3.45E+14,6589,28-Aug,Petrich
Jeannine Acker,3.56E+15,908,24-Dec,Peshtera
Nancy V Gutierrez,3.54E+15,182,9-Nov,Pernik
Jacinda I Antonelli,5.17E+15,343,13-Feb,Pazardzhik
Gilbert L Henson,3.55E+15,644,19-May,Panagyurishte
Michal L Peach,3.99E+13,216,27-Jun,Nova Zagora
Elsie Ryan,4.39E+15,859,28-Jun,Montana
Yaeko A Pagel,5.42E+15,130,Jan-32,Lovech
Aaron Q Hill,5.13E+15,834,17-Sep,Lom
Carson Q Stgermain,3.01E+13,32,13-Nov,Kyustendil
Todd D Forbes,3.02E+13,602,27-Sep,Kardzhali
Dinah Y Marquis,3.04E+13,658,14-Nov,Haskovo
Jerry W Maynard,6.44E+15,694,11-Aug,Harmanli
Vernell A Spear,5.36E+15,293,29-Apr,Kazanlak
Suzanne Cochran,4.71E+15,123,18-Dec,Karnobat
Natosha Bowser,4.59E+15,699,14-May,Karlovo
Sally I Merrill,3.57E+15,298,25-Aug,Gotse Delchev
Jospeh X Ramon,5.47E+15,307,12-Sep,Gorna Oryahovitsa
Floyd O Santiago,5.23E+15,619,27-Jun,Gabrovo
Gaylord L Artis,6.01E+15,293,19-Dec,Dimitrovgrad
Warren G Whitney,5.14E+15,175,20-Jan,Chirpan
Rosario Fortier,3.45E+14,5441,21-Oct,Cherven Bryag
Lois R Noel,3.59E+15,614,14-Apr,Burgas
Caterina W Hoppe,3.05E+13,187,19-Jan,Botevgrad
Charlie M Chang,3.48E+14,5534,Jan-33,Blagoevgrad
Russell F Ripley,4.85E+15,734,21-Feb,Berkovitsa
Denise Clark,4.81E+15,406,Nov-31,Aytos
Damion Q Mattison,3.53E+15,845,Apr-33,Asenovgrad
Kenneth Clark,3.55E+15,297,Aug-34,Sitrah
Donn B Prentiss,4.41E+15,7,18-Nov,Mad€Çnat ‰Û÷€»sÌÁ
Yolanda V Aguilar,3.09E+13,598,28-Jun,Jidd ‡ü¬afÙ
Clotilde Friedman,5.14E+15,536,24-Jul,Mad€Çnat ‡ü¬amad
Bertha Rodgers,3.92E+13,450,26-Feb,D€r Kulayb
Rayford G Loftis,3.55E+15,123,Sep-32,Al Muharraq
Bertha Blackwell,3.06E+13,860,22-Aug,Manama
Noel Chiang,3.86E+13,315,May-32,Ar Rif€‰Û÷
Jeffery M Aguirre,6.01E+15,498,24-Oct,Makamba
Altagracia G Greenlee,6.01E+15,601,18-Jun,Bururi
Mary Witt,6.01E+15,457,22-Jan,Bujumbura
Rudolph I Beem,3.54E+15,575,27-Nov,Muramvya
Dean Mcfadden,4.67E+15,46,26-Aug,Gitega
Maxwell C Oh,4.33E+15,332,25-Sep,Ruyigi
June X Ford,3.02E+13,157,14-May,Ngozi
Tori P Lyman,4.62E+15,476,27-Apr,Kayanza
Susan A Haynes,3.78E+14,4923,16-Jun,Muyinga
Modesto B Laureano,3.57E+15,943,20-Mar,Rutana
Martin Z Trujillo,4.49E+15,619,9-Jul,Tchaourou
Frederick E Ohare,6.01E+15,419,10-May,TanguiÌ©ta
Julia J Landry,3.00E+13,362,9-Mar,SavÌ©
Hector G Duggan,3.81E+13,670,18-Dec,Savalou
Frank F Mitchell,3.56E+15,903,17-Jan,SakÌ©tÌ©
Mckinley A Haller,4.02E+15,833,10-Oct,Porto-Novo
Joe Hahn,3.05E+13,684,28-Nov,PobÌ©
Carissa Warnock,3.56E+15,193,29-Nov,Parakou
Cheryl G Simmons,4.80E+15,634,21-Feb,Ouidah
Lilli Q Bivins,6.01E+15,249,24-Sep,Nikki
Lucille Perkins,6.01E+15,919,22-Nov,Natitingou
Mandie Dobbins,3.45E+14,3821,29-Mar,Malanville
Gordon E Mccoy,6.23E+15,84,Apr-32,Lokossa
Paulene Heck,5.42E+15,335,12-Nov,KÌ©tou
Elsie L Williams,3.05E+13,294,11-Jul,Kandi
Major Mcnabb,3.80E+14,7718,22-Feb,Dogbo
Kathleen C Ayala,4.50E+15,1,11-Oct,Djougou
Lachelle H Dicken,3.56E+15,718,18-Sep,Dassa-ZoumÌ©
Lee V Good,4.74E+15,472,30-May,CovÌ©
Floyd C Chaplin,3.49E+14,7858,15-Oct,Cotonou
Ruby Wagner,4.03E+15,14,28-Nov,ComÌ©
Allan U Orndorff,3.04E+13,136,30-Aug,Bohicon
Joshua J Buck,3.00E+13,339,25-Aug,BembÌ¬rÌ¬kÌ¬
Terrie Q Graziano,3.47E+14,2567,17-Aug,Bassila
Bill V Grant,3.71E+14,7899,11-Mar,Banikoara
Soo Q Franks,3.01E+13,605,28-Nov,AplahouÌ©
Norman H Davidson,4.73E+15,861,23-Feb,Allada
Rex L Ratliff,3.58E+15,602,20-Aug,Abomey-Calavi
Wanda Sherman,3.55E+15,961,26-Sep,Abomey
Frances A Coleman,3.00E+13,848,29-Apr,Gustavia
Darrell I Santiago,5.43E+15,254,25-Jun,Hamilton
Nadene S Huneycutt,3.48E+14,8092,29-Jan,Tutong
Cindy H Shepard,3.01E+13,297,Nov-31,Seria
Darryl S Phipps,6.01E+15,687,26-Aug,Kuala Belait
Antonio M Wong,5.49E+15,693,20-Apr,Bandar Seri Begawan
Sonja Shafer,3.74E+14,2386,17-Aug,Yacuiba
Florence Floyd,6.01E+15,908,27-Jul,Warnes
Shelby E Hairston,4.74E+15,724,Nov-36,VillazÌ_n
David Green,3.71E+14,1029,27-Dec,Villa YapacanÌ_
Erin J Abramson,5.42E+15,531,20-Sep,Villamontes
Virginia O Gross,3.53E+15,902,Feb-35,Tupiza
Emmett M Babin,3.04E+13,878,Jan-36,Trinidad
Alexander E Hopkins,6.01E+15,448,May-33,Tarija
Shandra C Odom,3.03E+13,848,20-Feb,Sucre
Gilbert I Ford,3.05E+13,337,24-Feb,Santiago del Torno
Vance Odell,6.01E+15,579,Nov-31,Santa Cruz de la Sierra
Kyle Q Cruz,3.42E+14,1370,16-Feb,San Ignacio de Velasco
Arnetta J Fogg,5.18E+15,847,20-Mar,San Borja
Ramon Conrad,6.01E+15,614,21-Nov,Riberalta
Dana Boyer,6.01E+15,763,15-Mar,Quillacollo
Steve U Mann,3.55E+15,350,21-Nov,Punata
Erik P Mulholland,3.09E+13,518,28-May,PotosÌ_
Roberto F Moran,3.80E+14,9601,18-Jun,Oruro
Quinn X Larocca,3.10E+13,747,27-Jun,Montero
Edward Beard,3.57E+15,582,24-Oct,Mizque
Isa Linkous,3.02E+13,438,Jan-32,Llallagua
Oscar G Bowman,6.45E+15,13,25-Jan,La Paz
Jc P Haugh,5.36E+15,14,18-Jan,Huanuni
Lori N Swanson,4.61E+15,596,29-Aug,GuayaramerÌ_n
Dana E Storer,4.16E+15,655,16-Feb,Cotoca
Christina E Torres,3.04E+13,561,16-Apr,Cochabamba
Edmundo R Ramsey,3.55E+15,356,26-Apr,Cobija
Shawn F Waters,3.57E+15,67,14-Sep,Camiri
Rocco Damico,3.43E+14,8095,28-Jul,Kralendijk
Ray O Barrett,3.99E+13,499,25-Feb,VitÌ_ria do Mearim
Willy I Carbone,4.45E+15,837,22-Feb,VitÌ_ria de Santo AntÌ£o
Audrey N Fry,3.55E+15,733,19-Apr,Viseu
Dennis N Metzger,4.18E+15,773,19-Jan,Conde
Ellen Hall,4.76E+15,470,22-Aug,Vigia
Ardelle O Lao,3.53E+15,578,13-Oct,ViÌ¤osa do CearÌÁ
Ray K Lynn,6.56E+15,20,25-May,ViÌ¤osa
Altha B Hetzel,3.43E+14,664,28-Jan,Viana
Peggy K Alvarado,3.55E+15,440,Jun-34,VÌÁrzea Alegre
Irvin P Marley,3.78E+14,3910,17-Jan,Varjota
Jerome V Medina,3.57E+15,432,27-Feb,Vargem Grande
Roxie W Haro,3.45E+14,5660,25-Apr,ValenÌ¤a do PiauÌ_
Marvin J Miles,3.56E+15,264,16-Mar,UniÌ£o dos Palmares
Darci L Repp,6.01E+15,979,15-Sep,UniÌ£o
Herman I Jacobson,5.15E+15,626,24-Jun,Tuntum
Jamaal S Sievers,5.45E+15,425,18-Dec,TucuruÌ_
Patricia Blankenship,5.40E+15,657,22-Feb,TucumÌ£
Scot Bly,6.56E+15,100,21-Feb,Trindade
Daniel X Buchanan,6.01E+15,868,29-Jan,Trairi
Mack Kowalewski,6.01E+15,863,22-Dec,Toritama
Lori Z Foster,6.01E+15,972,19-Jan,TomÌ© AÌ¤u
Trinity Claypool,4.71E+15,928,21-Jun,Timon
Carrie I Huber,5.32E+15,347,21-Mar,Timbiras
Kristofer Wadley,6.01E+15,86,18-May,TimbaÌ¼ba
Kathryn A Carver,6.01E+15,114,19-Dec,TianguÌÁ
Fredda Clarke,3.44E+14,7203,11-May,Teresina
Manuel D Frye,3.06E+13,779,12-Jun,SÌ£o JoÌ£o dos Inhamuns
Madelyn L Kaplan,3.56E+15,475,27-Jul,TamandarÌ©
Melissa T Alston,3.46E+14,5378,25-Dec,Tabira
Calvin Kowalewski,3.55E+15,273,20-Jan,Surubim
Victoria Q Washington,4.64E+15,261,30-Jan,Sousa
Debbra E Brawley,3.98E+13,96,18-Sep,Soure
Maurice I Kennedy,4.39E+15,204,18-Jul,SolÌ¢nea
Gerard Q Beauregard,4.09E+15,930,Feb-33,Sobral
Lillian V Meadows,6.44E+15,517,25-Oct,SirinhaÌ©m
Isaias F Gayton,3.50E+14,9640,28-Jul,SertÌ¢nia
Michele O Hopper,6.01E+15,330,21-Feb,Serra Talhada
Marguerita Q Schlueter,3.41E+14,3779,14-Mar,Senador Pompeu
Chad Kaufman,4.90E+15,984,26-Jan,Satuba
Hee Macmillan,5.16E+15,78,29-Nov,SÌ£o Raimundo Nonato
Don I Rocha,6.01E+15,848,25-May,SÌ£o Miguel dos Campos
Cletus V Fusco,3.53E+15,812,25-Nov,SÌ£o Miguel do GuamÌÁ
Ronnie Charles,3.54E+15,672,15-Jul,SÌ£o Mateus do MaranhÌ£o
Charity Gorski,3.77E+14,4112,Jan-34,SÌ£o LuÌ_s do Quitunde
Amber Conway,3.03E+13,205,24-Feb,SÌ£o LuÌ_s
Doretha Ledbetter,5.49E+15,150,15-Dec,SÌ£o LourenÌ¤o da Mata
Sylvia Z Frost,3.46E+14,9301,20-May,SÌ£o JosÌ© do Egito
Rueben I Nakamura,3.45E+14,6670,25-Mar,SÌ£o JosÌ© de Ribamar
Judith C Dyer,3.57E+15,112,25-Jul,SÌ£o JosÌ© de Mipibu
Lilla H Deutsch,3.72E+14,1497,19-Jun,SÌ£o JoÌ£o dos Patos
John Barker,3.93E+13,640,15-May,SÌ£o GonÌ¤alo do Amarante
Francisco W Burk,5.13E+15,510,17-Sep,SÌ£o FÌ©lix do Xingu
Ellen Best,3.03E+13,25,17-Apr,SÌ£o Domingos do MaranhÌ£o
Tiana P Washer,3.56E+15,318,21-Mar,SÌ£o Bento
Katherine S Washington,6.58E+15,225,17-Nov,SÌ£o Bento
Tyron X Moody,3.54E+15,85,21-Aug,Santa Rita
Clara C Wells,3.77E+14,2424,26-Jan,SantarÌ©m
Fidelia Matherne,3.64E+13,76,11-Mar,Santa QuitÌ©ria do MaranhÌ£o
Brenda M Strickland,3.46E+14,2885,14-Apr,Santa QuitÌ©ria
Drucilla Z Pollard,4.32E+15,176,22-Feb,Santana do Ipanema
Shawn Farley,4.05E+15,790,21-Jun,Santa Luzia
Veola T Marchetti,4.08E+15,727,27-Feb,Santa InÌ»s
Phyllis Decker,3.78E+14,2497,26-Jul,Santa Helena
Beryl U Elliot,3.53E+15,361,22-Mar,Santa Cruz do Capibaribe
Leroy S Butler,3.67E+13,213,28-May,Santa Cruz
Tona R Leger,3.53E+15,600,14-Jul,SalinÌ_polis
Brent M Winters,6.01E+15,293,18-Feb,Salgueiro
Isaac Malley,3.64E+13,513,24-Jul,Russas
Jerome T Dominguez,3.53E+15,9,Aug-33,Rio Largo
Gordon U Hamblin,6.01E+15,497,Sep-34,Rio Formoso
Ricky Sparks,3.55E+15,294,14-Dec,RibeirÌ£o
Candra K Luker,3.57E+15,276,12-Dec,Recife
Jane Marks,3.48E+14,5132,21-Feb,Quixeramobim
Boyce W Waddle,5.29E+15,113,22-Aug,QuixadÌÁ
Steven C Pratt,3.42E+14,121,17-Jan,Presidente Dutra
Lyman Z Mike,3.02E+13,793,30-Aug,Santana
Norma Flores,3.54E+15,397,20-Sep,Porto Calvo
Frank Wade,3.58E+15,150,18-May,Portel
Leon Edwards,4.61E+15,980,20-Nov,Pombos
Kenneth O Davison,5.46E+15,626,25-Oct,Pombal
Alan K Weaver,3.80E+14,7754,Jun-35,Piripiri
Kam R Lundgren,3.57E+15,559,22-Apr,Piracuruca
Maria Q Campos,3.57E+15,222,29-May,Pinheiro
Guillermo Windsor,4.57E+15,142,25-Feb,PindarÌ© Mirim
Tony Rowe,5.41E+15,452,21-Jan,Pilar
Aaron Q Correll,4.45E+15,658,17-Apr,Picos
Rosa M Brown,5.31E+15,264,10-Oct,Petrolina
Kami Z Pippin,3.02E+13,20,27-Jun,JatobÌÁ
Barry V Battle,4.39E+15,157,19-Jun,Pesqueira
Delbert Schindler,3.06E+13,686,23-Jun,Pentecoste
Billy N Phelps,5.28E+15,358,16-Jun,Penalva
Efrain Ung,3.86E+13,874,26-Apr,Pedro II
Harry K Fuentes,5.48E+15,773,11-Apr,Pedra Branca
Charlena Sebastian,5.26E+15,529,20-Dec,Paulo Afonso
Darlene Z Frazier,3.05E+13,678,19-Feb,Paulista
Trevor S Melendez,4.33E+15,580,30-Jan,Patos
Kenneth B Burns,6.01E+15,116,12-Oct,Parnamirim
Vaughn C Neuman,3.09E+13,907,18-Aug,ParnaÌ_ba
Clyde X Bailey,4.23E+15,284,29-Oct,Parintins
Kelley U Freeland,3.05E+13,370,19-Mar,Parelhas
Lucille C White,5.16E+15,412,23-Nov,Paraipaba
Jackson D Boughton,3.43E+14,4025,14-Oct,Paragominas
Laurie T Clemons,6.01E+15,350,18-Jan,Paracuru
Johnathan Y Angel,6.56E+15,344,23-Feb,Palmares
Catherine X Fuller,3.55E+15,700,23-Dec,Pacatuba
Yee E Boring,3.04E+13,80,Apr-31,Pacajus
Geraldine P Finley,3.42E+14,8357,23-Mar,Ouricuri
Jessenia Hector,6.01E+15,863,25-Jun,OrÌ_s
William K Lamb,6.01E+15,924,16-Aug,OriximinÌÁ
Charles I Thacker,3.44E+14,1511,17-Jun,Olinda
Jack Ball,4.43E+15,487,30-Dec,Oeiras
Chan C Judy,4.59E+15,475,25-Jul,ÌÒbidos
Catherine Price,3.09E+13,79,Feb-32,Nova Russas
Shayla R Cathcart,3.01E+13,153,18-Nov,Nova Cruz
Jacqueline Silva,5.48E+15,912,30-Jun,NazarÌ© da Mata
Kourtney V Pass,3.46E+14,7201,26-Jul,Natal
Marie J Fletcher,6.58E+15,289,8-Nov,Murici
Frances J Murry,3.63E+13,592,17-Apr,Moreno
Sylvia D Singleton,3.44E+14,6473,15-Nov,Morada Nova
Donald M Harkness,6.01E+15,778,26-Nov,Monteiro
Eva Best,3.75E+14,7249,19-Aug,Monte Alegre
Ernesto A Aycock,3.94E+13,547,30-Mar,MombaÌ¤a
Keith Q Hyde,6.22E+15,951,17-Jun,Moju
Garth Y Leech,3.54E+15,248,28-May,MossorÌ_
Gordon Brady,6.22E+15,561,Jun-32,Mocajuba
Fidel Z Mateo,3.50E+14,6109,May-35,MauÌ©s
Andrea S George,3.43E+14,7944,22-Sep,Matriz de Camaragibe
Goldie Q Reinhold,3.41E+14,3935,15-Dec,Mari
Gerald J Hess,3.58E+15,445,20-Dec,Marechal Deodoro
Filomena Z Lachance,4.09E+15,534,20-Jun,Maragogi
Stacy Z Bradley,3.01E+13,618,18-May,MaracanaÌ¼
Lindsey Aubin,3.58E+15,283,15-Jan,MarabÌÁ
Amy Y Stark,4.19E+15,62,21-Sep,Mamanguape
Kathrine H Cavazos,3.47E+14,8538,Mar-33,MaceiÌ_
Lori Stokes,4.37E+15,495,20-May,Macau
Mozell R Montemayor,5.43E+15,966,19-Mar,MacapÌÁ
Janet Ramirez,3.01E+13,882,24-Dec,MacaÌ_ba
Oleta S Beene,5.25E+15,599,29-Mar,Limoeiro do Norte
Beverly Q Erickson,3.58E+15,959,Jun-35,Limoeiro
Linette Keister,6.01E+15,710,28-Nov,Lavras da Mangabeira
Gloria P Dean,3.82E+13,317,13-Aug,Lajedo
Jackie W Pieper,4.55E+15,433,27-Oct,Lago da Pedra
Doris I Riddle,4.09E+15,297,23-Aug,Lagoa do Itaenga
Greg Edington,5.49E+15,371,23-Apr,Juazeiro do Norte
Eugene A Rollins,3.55E+15,762,Sep-32,JosÌ© de Freitas
Iliana X Hamer,4.58E+15,291,18-Feb,JoÌ£o Pessoa
Micheal F Tyler,5.19E+15,672,19-Feb,JoÌ£o CÌ¢mara
Jaleesa I Erdmann,6.58E+15,828,27-Feb,Jaguaruana
Hector O Glover,5.39E+15,311,17-Jul,Jaguaribe
Rubin M Tallent,5.26E+15,865,21-Nov,JaboatÌ£o
Lillian Cox,5.12E+15,21,17-Feb,Itupiranga
Wilburn E Schutt,3.72E+14,2433,21-Sep,Itacoatiara
Jeffery L Murphy,6.59E+15,193,29-Aug,Itaporanga
Abraham T Prieto,5.34E+15,335,Aug-36,Itapissuma
Arthur O Pickett,3.54E+15,497,27-Oct,Itapipoca
Dovie Harrold,3.50E+14,8587,Sep-32,Itapecuru Mirim
Lewis M Byers,4.89E+15,984,23-Jun,ItapagÌ©
Karlene E Kwon,3.50E+14,8466,Oct-32,Itaituba
Leonard T Barrera,6.01E+15,575,May-34,Itaitinga
Trina Thorn,5.17E+15,342,16-Nov,Itabaiana
Cathy O Le,3.41E+14,9182,15-Mar,Ipueiras
India Gasaway,3.70E+14,3932,13-Jan,Ipubi
Floyd Giles,3.58E+15,586,16-Mar,Ipu
Cesar H Box,3.59E+15,646,May-33,Ipojuca
Renee Y Caldwell,6.01E+15,992,26-Sep,Imperatriz
Carla R Featherston,4.55E+15,18,31-May,Iguatu
Cheryl I Duffy,4.79E+15,909,17-Oct,IgarapÌ© Miri
Sonny Vail,3.06E+13,434,14-Feb,IgarapÌ© AÌ¤u
Gloria Stone,3.01E+13,625,29-Jun,Igarassu
Thomasina P Flatt,3.72E+14,4687,27-Mar,IcÌ_
David F Knowles,4.29E+15,62,30-Apr,Horizonte
Precious C Click,6.01E+15,309,13-Mar,Guaraciaba do Norte
Randy P Fitzpatrick,3.45E+14,1205,20-May,Guarabira
Filiberto Pisano,4.17E+15,295,28-Dec,GuaiÌ¼ba
Jeffery Y Stout,3.10E+13,133,26-Oct,GravatÌÁ
Kasha G Moeller,3.53E+15,898,25-Dec,Granja
Jason Franco,4.63E+15,499,14-Jun,GrajaÌ¼
Dexter C Saylor,3.44E+14,1246,16-Apr,Goiana
Keith R Gould,3.42E+14,828,18-Oct,GlÌ_ria do GoitÌÁ
Sharilyn G Engel,3.57E+15,891,12-Jun,Garanhuns
Jimmy A Foster,4.91E+15,356,24-Oct,Gameleira
Clement G Patino,4.49E+15,196,Aug-37,Fortaleza
Clyde Lindsey,3.82E+13,637,20-Jun,Floriano
Sol O Batey,3.56E+15,270,Aug-32,Floresta
Kelly Baird,4.18E+15,418,14-Aug,EusÌ©bio
Michell E Woodman,3.57E+15,25,25-Oct,Extremoz
Eleanor Wright,3.02E+13,401,8-Dec,Estreito
Alissa A Finkelstein,3.42E+14,9340,26-Sep,Esperantina
Louis Perry,6.01E+15,30,22-Feb,EsperanÌ¤a
Bert G Gillman,3.73E+14,4225,21-Nov,Escada
Julia K Bryan,4.77E+15,285,28-Jan,Dom Pedro
Dawna Scurry,3.56E+15,799,19-Jul,Demerval LobÌ£o
Rita Waller,4.09E+15,244,12-Sep,Delmiro Gouveia
Lucilla V Martel,4.19E+15,526,23-Jun,CustÌ_dia
Hector Hebert,6.01E+15,291,23-Nov,Cururupu
Reginia C Demoss,3.75E+14,4707,14-Jun,Currais Novos
Sally V Merrill,3.49E+14,5508,22-Aug,Cupira
Erick W Lundgren,3.59E+15,692,16-Jan,Crato
Walter Lester,6.48E+15,810,23-May,CrateÌ¼s
Forrest Muro,3.02E+13,473,27-Aug,CoroatÌÁ
Kenneth Douglas,6.01E+15,968,18-Aug,Condado
Rosann L Abbate,6.01E+15,167,Jul-32,ConceiÌ¤Ì£o do Araguaia
Sharon Carey,6.01E+15,264,21-Feb,Colinas
Elissa S Glasgow,3.05E+13,323,21-Oct,Coelho Neto
Lawrence H Maxwell,5.38E+15,523,Aug-33,CodÌ_
Ivette Mcclure,5.14E+15,797,20-Jul,Chapadinha
Thomas Powers,5.17E+15,340,24-Jun,ChÌ£ Grande
